x,y,yaw
-4.194588851928710938e+01,4.057660102844238281e-01,2.141136169433593750e+00
-4.205365371704101562e+01,5.741993784904479980e-01,2.138828516006469727e+00
-4.216103363037109375e+01,7.428802847862243652e-01,2.136547803878784180e+00
-4.226803207397460938e+01,9.118037223815917969e-01,2.134293794631958008e+00
-4.237464904785156250e+01,1.080966711044311523e+00,2.132066249847412109e+00
-4.248089599609375000e+01,1.250365734100341797e+00,2.129865407943725586e+00
-4.258676910400390625e+01,1.419995903968811035e+00,2.127691030502319336e+00
-4.269227218627929688e+01,1.589855194091796875e+00,2.125543355941772461e+00
-4.279741668701171875e+01,1.759938955307006836e+00,2.123422145843505859e+00
-4.290220260620117188e+01,1.930243849754333496e+00,2.121327400207519531e+00
-4.300663375854492188e+01,2.100767135620117188e+00,2.119259119033813477e+00
-4.311071014404296875e+01,2.271503925323486328e+00,2.117217302322387695e+00
-4.321444320678710938e+01,2.442452192306518555e+00,2.115201711654663086e+00
-4.331783294677734375e+01,2.613607168197631836e+00,2.113212585449218750e+00
-4.342088699340820312e+01,2.784966230392456055e+00,2.111249923706054688e+00
-4.352360534667968750e+01,2.956526517868041992e+00,2.109313488006591797e+00
-4.362599182128906250e+01,3.128283262252807617e+00,2.107403516769409180e+00
-4.372805404663085938e+01,3.300234317779541016e+00,2.105519533157348633e+00
-4.382979202270507812e+01,3.472375869750976562e+00,2.103662014007568359e+00
-4.393121337890625000e+01,3.644704818725585938e+00,2.101830482482910156e+00
-4.403232192993164062e+01,3.817218065261840820e+00,2.100025415420532227e+00
-4.413312149047851562e+01,3.989911794662475586e+00,2.098246097564697266e+00
-4.423361587524414062e+01,4.162783622741699219e+00,2.096493244171142578e+00
-4.433380889892578125e+01,4.335830211639404297e+00,2.094766616821289062e+00
-4.443370437622070312e+01,4.509047985076904297e+00,2.093065738677978516e+00
-4.453330993652343750e+01,4.682434082031250000e+00,2.091391086578369141e+00
-4.463262176513671875e+01,4.855985164642333984e+00,2.089742660522460938e+00
-4.473165512084960938e+01,5.029699325561523438e+00,2.088119983673095703e+00
-4.483040618896484375e+01,5.203571796417236328e+00,2.086523532867431641e+00
-4.492888259887695312e+01,5.377600669860839844e+00,2.084952831268310547e+00
